agency_code,agency_pool_num,surv_year,pool_id,code,name,street,city,zip,region,site_code,site_name,site_street,site_city,site_zip,site_region,calculated_neighborhood,calculated_neighborhood_distance,calculated_city,calculated_city_distance,calculated_subcounty,calculated_county,calculated_state,longitude,latitude,collection_date,disease_week,trap_type,species,sex,sex_condition,num_count,other_sites,group,arthro_pool_test_id,test_agency_code,test_date,test_method,test_target,test_status,test_value,comments,add_date
ARBO,1,2026,2080192,2,C002,Holy Trinity Monestary,St. David,85630,"Cochise County (Arizona, USA)",2,C002,Holy Trinity Monestary,St. David,85630,"Cochise County (Arizona, USA)",,,St. David,0,Benson,Cochise,Arizona,-110.215589,31.875038,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,2,,,4835373,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,1,2026,2080192,2,C002,Holy Trinity Monestary,St. David,85630,"Cochise County (Arizona, USA)",2,C002,Holy Trinity Monestary,St. David,85630,"Cochise County (Arizona, USA)",,,St. David,0,Benson,Cochise,Arizona,-110.215589,31.875038,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,2,,,4835357,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,4,2026,2080195,25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.946102,31.33480306,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,5,,,4835374,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,4,2026,2080195,25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.946102,31.33480306,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,5,,,4835358,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,5,2026,2080196,25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.946102,31.33480306,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,9,,,4835375,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,5,2026,2080196,25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",25,C025,Naco Port of Entry,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.946102,31.33480306,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,9,,,4835359,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,7,2026,2080198,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex coronator,female,Females - Mixed,1,,,4835370,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,7,2026,2080198,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex coronator,female,Females - Mixed,1,,,4835354,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,8,2026,2080199,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,2,,,4835371,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,8,2026,2080199,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex tarsalis,female,Females - Mixed,2,,,4835355,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,9,2026,2080200,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,18,,,4835372,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,9,2026,2080200,8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",8,C008,Naco Fire,Naco,85620,"Cochise County (Arizona, USA)",,,Naco,0,Bisbee,Cochise,Arizona,-109.949198,31.335569,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,18,,,4835356,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,10,2026,2080267,4,C004,207 N 2nd St,Sierra Vista,85635,"Cochise County (Arizona, USA)",4,C004,207 N 2nd St,Sierra Vista,85635,"Cochise County (Arizona, USA)",,,Sierra Vista,81.8861104,Sierra Vista,Cochise,Arizona,-110.2968336,31.55831641,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,1,,,4835377,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,10,2026,2080267,4,C004,207 N 2nd St,Sierra Vista,85635,"Cochise County (Arizona, USA)",4,C004,207 N 2nd St,Sierra Vista,85635,"Cochise County (Arizona, USA)",,,Sierra Vista,81.8861104,Sierra Vista,Cochise,Arizona,-110.2968336,31.55831641,2026-05-05,18,CO2-EVS,Culex quinquefasciatus,female,Females - Mixed,1,,,4835361,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,12,2026,2080269,23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",,,Tombstone,0,Sierra Vista,Cochise,Arizona,-110.07048,31.71286,2026-05-05,18,BGSENT,Aedes aegypti,female,Females - Mixed,1,,,4835386,ARBO,2026-05-08,RTPCR,DENV,Negative,,,05/25/26 09:34 AM
ARBO,12,2026,2080269,23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",,,Tombstone,0,Sierra Vista,Cochise,Arizona,-110.07048,31.71286,2026-05-05,18,BGSENT,Aedes aegypti,female,Females - Mixed,1,,,4835376,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,12,2026,2080269,23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",23,C023,Tombstone Brewery,Tombstone,85638,"Cochise County (Arizona, USA)",,,Tombstone,0,Sierra Vista,Cochise,Arizona,-110.07048,31.71286,2026-05-05,18,BGSENT,Aedes aegypti,female,Females - Mixed,1,,,4835360,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
ARBO,14,2026,2080271,15,C015,Douglas Diesel,Douglas,85607,"Cochise County (Arizona, USA)",15,C015,Douglas Diesel,Douglas,85607,"Cochise County (Arizona, USA)",,,Douglas,0,Douglas,Cochise,Arizona,-109.55241,31.352,2026-05-06,18,BGSENT,Culex quinquefasciatus,female,Females - Mixed,12,,,4835384,ARBO,2026-05-08,RTPCR,SLEV,Negative,,,05/25/26 09:34 AM
ARBO,14,2026,2080271,15,C015,Douglas Diesel,Douglas,85607,"Cochise County (Arizona, USA)",15,C015,Douglas Diesel,Douglas,85607,"Cochise County (Arizona, USA)",,,Douglas,0,Douglas,Cochise,Arizona,-109.55241,31.352,2026-05-06,18,BGSENT,Culex quinquefasciatus,female,Females - Mixed,12,,,4835368,ARBO,2026-05-08,RTPCR,WNV,Negative,,,05/25/26 09:34 AM
